store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_104363838,2026-04-10T16:55:36Z,400.0
STORE_BLR_002,TXN_104377545,2026-04-10T19:21:55Z,198.0
STORE_BLR_002,TXN_104362899,2026-04-10T16:45:32Z,799.0
STORE_BLR_002,TXN_104373042,2026-04-10T18:41:51Z,1799.0
STORE_BLR_002,TXN_104375288,2026-04-10T19:02:09Z,699.0
STORE_BLR_002,TXN_104346717,2026-04-10T13:41:55Z,99.0
STORE_BLR_002,TXN_104380754,2026-04-10T19:54:02Z,396.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,1.0
STORE_BLR_002,TXN_104373042,2026-04-10T18:41:51Z,10.0
STORE_BLR_002,TXN_104369411,2026-04-10T17:55:02Z,299.0
STORE_BLR_002,TXN_104338647,2026-04-10T12:15:05Z,399.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,549.0
STORE_BLR_002,TXN_104346717,2026-04-10T13:41:55Z,99.0
STORE_BLR_002,TXN_104347785,2026-04-10T13:55:16Z,2.0
STORE_BLR_002,TXN_104383803,2026-04-10T20:25:04Z,299.0
STORE_BLR_002,TXN_104377545,2026-04-10T19:21:55Z,499.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,199.0
STORE_BLR_002,TXN_104378732,2026-04-10T19:33:52Z,249.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,849.0
STORE_BLR_002,TXN_104350137,2026-04-10T14:23:21Z,225.0
STORE_BLR_002,TXN_104363838,2026-04-10T16:55:36Z,265.0
STORE_BLR_002,TXN_104359750,2026-04-10T16:08:03Z,799.0
STORE_BLR_002,TXN_104362899,2026-04-10T16:45:32Z,2.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,649.0
STORE_BLR_002,TXN_104379480,2026-04-10T19:41:29Z,450.0
STORE_BLR_002,TXN_104362899,2026-04-10T16:45:32Z,999.0
STORE_BLR_002,TXN_104383803,2026-04-10T20:25:04Z,299.0
STORE_BLR_002,TXN_104370397,2026-04-10T18:07:14Z,825.0
STORE_BLR_002,TXN_104358212,2026-04-10T15:50:44Z,400.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,549.0
STORE_BLR_002,TXN_104357849,2026-04-10T15:46:39Z,599.0
STORE_BLR_002,TXN_104379480,2026-04-10T19:41:29Z,198.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,495.0
STORE_BLR_002,TXN_104363838,2026-04-10T16:55:36Z,399.0
STORE_BLR_002,TXN_104353598,2026-04-10T15:02:20Z,450.0
STORE_BLR_002,TXN_104377545,2026-04-10T19:21:55Z,1499.0
STORE_BLR_002,TXN_104368521,2026-04-10T17:44:44Z,299.0
STORE_BLR_002,TXN_104346717,2026-04-10T13:41:55Z,99.0
STORE_BLR_002,TXN_104363838,2026-04-10T16:55:36Z,249.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,299.0
STORE_BLR_002,TXN_104375288,2026-04-10T19:02:09Z,2.0
STORE_BLR_002,TXN_104346717,2026-04-10T13:41:55Z,99.0
STORE_BLR_002,TXN_104362899,2026-04-10T16:45:32Z,1420.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,1499.0
STORE_BLR_002,TXN_104377545,2026-04-10T19:21:55Z,198.0
STORE_BLR_002,TXN_104370397,2026-04-10T18:07:14Z,330.0
STORE_BLR_002,TXN_104341290,2026-04-10T12:42:18Z,192.0
